name,symbol,logo,historicalFile,url
Cyclone Protocol,CYC,CYC.png,CYC.csv,/currencies/cyclone-protocol/
Pallapay,PALLA,PALLA.png,PALLA.csv,/currencies/pallapay/
Restart Energy ,MWAT,MWAT.png,MWAT.csv,/currencies/restart-energy-mwat/
.network,CBC,CBC.png,CBC.csv,/currencies/casino-betting-coin/
Raze Network,RAZE,RAZE.png,RAZE.csv,/currencies/raze-network/
CyberMiles,CMT,CMT.png,CMT.csv,/currencies/cybermiles/
HorusPay,HORUS,HORUS.png,HORUS.csv,/currencies/horuspay/
WagyuSwap,WAG,WAG.png,WAG.csv,/currencies/wagyuswap/
Mint Club,MINT,MINT.png,MINT.csv,/currencies/mint-club/
Abyss,ABYSS,ABYSS.png,ABYSS.csv,/currencies/abyss/
ProximaX,XPX,XPX.png,XPX.csv,/currencies/proximax/
MediShares,MDS,MDS.png,MDS.csv,/currencies/medishares/
Shadows,DOWS,DOWS.png,DOWS.csv,/currencies/shadows/
,INT,INT.png,INT.csv,/currencies/int-chain/
Virtue Poker,VPP,VPP.png,VPP.csv,/currencies/virtue-poker/
Zynecoin,ZYN,ZYN.png,ZYN.csv,/currencies/zynecoin/
Genaro Network,GNX,GNX.png,GNX.csv,/currencies/genaro-network/
Fractal,FCL,FCL.png,FCL.csv,/currencies/fractal/
COIN,HTML,HTML.png,HTML.csv,/currencies/html-coin/
Bondly,BONDLY,BONDLY.png,BONDLY.csv,/currencies/bondly/
Cryptopay,CPAY,CPAY.png,CPAY.csv,/currencies/cryptopay/
Eminer,EM,EM.png,EM.csv,/currencies/eminer/
,STARSHIP,STARSHIP.png,STARSHIP.csv,/currencies/starship/
Wagerr,WGR,WGR.png,WGR.csv,/currencies/wagerr/
AnRKey X,$ANRX,$ANRX.png,$ANRX.csv,/currencies/anrkey-x/
Beyond Finance,BYN,BYN.png,BYN.csv,/currencies/beyond-finance/
Rune,RUNE,RUNE.png,RUNE.csv,/currencies/rune/
SwftCoin,SWFTC,SWFTC.png,SWFTC.csv,/currencies/swftcoin/
Snowball,SNOB,SNOB.png,SNOB.csv,/currencies/snowball-finance/
O Coin,EXM,EXM.png,EXM.csv,/currencies/exmo-coin/
Aeon,AEON,AEON.png,AEON.csv,/currencies/aeon/
 Coin,UCA,UCA.png,UCA.csv,/currencies/uca-coin/
Don-key,DON,DON.png,DON.csv,/currencies/don-key/
Folgory Coin,FLG,FLG.png,FLG.csv,/currencies/folgory-coin/
Odyssey,OCN,OCN.png,OCN.csv,/currencies/odyssey/
Innovation Blockchain Payment,IBP,IBP.png,IBP.csv,/currencies/innovation-blockchain-payment/
MurAll,PAINT,PAINT.png,PAINT.csv,/currencies/murall/
Graviocoin,GIO,GIO.png,GIO.csv,/currencies/graviocoin/
Cryptaur,CPT,CPT.png,CPT.csv,/currencies/cryptaur/
Spheroid Universe,SPH,SPH.png,SPH.csv,/currencies/spheroid-universe/
,VIBE,VIBE.png,VIBE.csv,/currencies/vibe/
ThreeFold,TFT,TFT.png,TFT.csv,/currencies/threefold/
hain,CPC,CPC.png,CPC.csv,/currencies/cpchain/
.io,TFL,TFL.png,TFL.csv,/currencies/trueflip/
CASH,OTO,OTO.png,OTO.csv,/currencies/otocash/
 COIN,MIR,MIR.png,MIR.csv,/currencies/mir-coin/
Xensor,XSR,XSR.png,XSR.csv,/currencies/xensor/
,VAULT,VAULT.png,VAULT.csv,/currencies/vault/
Monavale,MONA,MONA.png,MONA.csv,/currencies/monavale/
NFT Index,NFTI,NFTI.png,NFTI.csv,/currencies/nft-index/
Governor DAO,GDAO,GDAO.png,GDAO.csv,/currencies/governor-dao/
PlotX,PLOT,PLOT.png,PLOT.csv,/currencies/plotx/
eBoost,EBST,EBST.png,EBST.csv,/currencies/eboostcoin/
Swace,SWACE,SWACE.png,SWACE.csv,/currencies/swace/
Darwinia Commitment Token,KTON,KTON.png,KTON.csv,/currencies/darwinia-commitment-token/
KanadeCoin,KNDC,KNDC.png,KNDC.csv,/currencies/kanadecoin/
Atlas Protocol,ATP,ATP.png,ATP.csv,/currencies/atlas-protocol/
Portion,PRT,PRT.png,PRT.csv,/currencies/portion/
,AXPR,AXPR.png,AXPR.csv,/currencies/axpr-token/
DAEX,DAX,DAX.png,DAX.csv,/currencies/daex/
xSigma,SIG,SIG.png,SIG.csv,/currencies/xsigma/
Gem Exchange And Trading,GXT,GXT.png,GXT.csv,/currencies/gem-exchange-and-trading/
